City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,macapa,0.0389,-51.0664,31.99,62,20,5.14,BR,23-07-18
262,badger,64.8,-147.5333,18.68,75,75,2.57,US,23-07-18
263,cadale,2.7603,46.3222,25.15,85,25,9.29,SO,23-07-18
264,whitehorse,60.7161,-135.0538,17.43,59,100,2.06,CA,23-07-18
265,taro,-8.3862,115.28,22.0,93,74,1.32,ID,23-07-18
266,general roca,-39.0333,-67.5833,8.6,51,100,1.56,AR,23-07-18
267,ishqoshim,36.7248,71.6133,19.86,38,5,2.71,TJ,23-07-18
268,timra,62.487,17.3257,17.82,48,28,3.09,SE,23-07-18
269,port alfred,-33.5906,26.891,15.1,91,75,0.89,ZA,23-07-18
270,as sulayyil,20.4607,45.5779,36.14,8,8,1.6,SA,23-07-18
271,mar del plata,-38.0023,-57.5575,9.97,67,20,4.12,AR,23-07-18
272,kiruna,67.8557,20.2251,12.51,71,75,7.2,SE,23-07-18
273,ixtapa,20.7,-105.2,31.57,58,75,1.79,MX,23-07-18
274,aasiaat,68.7098,-52.8699,4.38,95,97,3.1,GL,23-07-18
275,essaouira,31.5125,-9.77,22.67,82,10,5.67,MA,23-07-18
276,kalmunai,7.4167,81.8167,27.02,67,86,2.57,LK,23-07-18
277,camocim,-2.9022,-40.8411,30.33,57,1,7.32,BR,23-07-18
278,fortuna,40.5982,-124.1573,18.24,77,0,6.17,US,23-07-18
279,timbuktu,16.7735,-3.0074,38.74,23,28,4.13,ML,23-07-18
280,road town,18.4167,-64.6167,31.02,66,20,4.63,VG,23-07-18
281,ola,59.5833,151.2833,15.33,78,11,1.59,RU,23-07-18
282,east london,-33.0153,27.9116,17.97,82,1,5.31,ZA,23-07-18
283,lompoc,34.6391,-120.4579,23.79,69,40,3.6,US,23-07-18
284,narra,9.3167,118.4,25.83,85,100,2.71,PH,23-07-18
285,kendraparha,20.5,86.4167,27.63,85,27,2.69,IN,23-07-18
286,lorengau,-2.0226,147.2712,26.5,81,79,2.44,PG,23-07-18
287,buka,40.8108,69.1986,28.38,32,0,3.53,UZ,23-07-18
288,koksan,38.7819,126.6664,19.99,97,6,1.47,KP,23-07-18
289,al muwayh,22.4333,41.7583,35.62,11,100,5.24,SA,23-07-18
290,sola,-13.8833,167.55,25.54,82,100,10.86,VU,23-07-18
291,mudgee,-32.5943,149.5871,0.44,94,0,1.67,AU,23-07-18
292,mil'kovo,55.6078,37.7956,18.29,94,74,3.56,RU,23-07-18
293,arraial do cabo,-22.9661,-42.0278,21.92,88,75,3.6,BR,23-07-18
294,cam ranh,11.9214,109.1591,28.98,65,20,1.54,VN,23-07-18
295,livingston,55.9029,-3.5226,15.13,72,20,1.03,GB,23-07-18
296,port augusta,-32.5,137.7667,7.62,87,11,2.17,AU,23-07-18
297,newton abbot,50.5286,-3.6119,16.71,90,83,6.24,GB,23-07-18
298,florence,43.7667,11.25,29.52,50,0,0.45,IT,23-07-18
299,calvinia,-31.4707,19.776,9.81,83,99,6.57,ZA,23-07-18
300,uturoa,-16.7333,-151.4333,26.17,76,84,7.84,PF,23-07-18
301,moura,38.1401,-7.4486,29.06,13,53,2.6,PT,23-07-18
302,ath thawrah,35.8469,38.5443,32.82,12,0,4.78,SY,23-07-18
303,dakhla,23.6848,-15.958,24.01,73,3,11.83,EH,23-07-18
304,kruisfontein,-34.0033,24.7314,15.49,77,100,11.49,ZA,23-07-18
305,chios,38.3678,26.1358,28.92,39,0,8.23,GR,23-07-18
306,la rioja,42.25,-2.5,22.88,63,100,3.24,ES,23-07-18
307,eforie sud,44.0229,28.6494,25.45,61,7,5.48,RO,23-07-18
308,i-n-salah,27.1935,2.4607,38.58,7,0,4.56,DZ,23-07-18
309,chui,-33.6971,-53.4616,9.81,69,100,3.58,UY,23-07-18
310,mugia,43.1041,-9.2179,22.17,78,0,7.12,ES,23-07-18
